no,disctrict,institude
51,मुंगेली,"सोनकर  कॉलेज , बुन्देली  घोरपुरा मुंगेली , जिला - मुंगेली"
52,जांजगीर  -चांपा ,शिवशक्ति  इंस्टीट्यूट खोरसी  शिवरीनारायण जिला जांजगीर  -चांपा 
53,जांजगीर  -चांपा ,"पं. हरिशंकर  कॉलेज  ऑफ़  एजुकेशन  , नैला रोड  , सरखो  जिला  जांजगीर  -चांपा "
54,जांजगीर  -चांपा ,जे .आर . डी .एजुकेशन  कॉलेज  पामगढ़ जिला - जांजगीर   
55,जांजगीर  -चांपा ,"लाल बहादुर  शास्त्री  महाविधालय ,बलोदा , जिला जांजगीर"
56,जांजगीर  -चांपा ,"राहौद एजुकेशन सोसायटी रहौद  , पामगढ़ जिला - जांजगीर "
57,जांजगीर  -चांपा ,भारती  स्कूल ऑफ़  एजुकेशन  राहौद जिला - जांजगीर  -चांपा 
58,जांजगीर  -चांपा ,"श्याम शिक्षा  महाविधालय रिशमतीर्थ  ,शक्ती जांजगीर  -चांपा "
59,जांजगीर  -चांपा ,"कोणार्क कॉलेज ऑफ़ एजुकेशन ,खोखसा जांजगीर"
60,जांजगीर  -चांपा ,"जगरानी देवी कॉलेज  ऑफ़ एजुकेशन  दर्रभाटा,जैजैपुर जांजगीर  -चांपा "
61,रायगढ़,"अभिमान  डी. एड . कॉलेज कुसमुरा  , रायगढ़ "
62,रायगढ़,"माँ मंगलम कॉलेज , लोहरसिंग ,कुंदातराई , तह. पुसौर  जिला रायगढ़"
63,रायगढ़,"जे .वी .जी कॉलेज  ऑफ़ एजुकेशन कोटरापाली रायगढ़ , छत्तीसगढ़"
64,जशपुर,"होलीक्रास बी .टी. आई ,पत्थलगांव"
65,महासमुंद,इंडियन कॉलेज ऑफ़ एजुकेशन बेलसोंडा महासमुंद  
66,महासमुंद,रामदर्शन  इंस्टीट्यूट ऑफ़ एजुकेशन  महासमुंद
67,महासमुंद,प्रतिभा कॉलेज ऑफ़ एजुकेशन बालसी सरायपाली महासमुंद छत्तीसगढ़ 
68,बस्तर,"सूर्या कॉलेज, गीदम  रोड,  जगदलपुर "
69,बस्तर,"क्राइस्ट कॉलेज, जगदलपुर,  जिला बस्तर "
70,सुकमा,"विश्वभारती इंस्टिट्यूट कोन्टा, जिला सुकमा"
